illum, gene, corpf
ILMN_1810941, COMT, 1
ILMN_1670308, GPM6B, 0.734
ILMN_1695598, LOC441775, 0.718
ILMN_1679041, SLC3A2, 0.697
ILMN_1805905, CAT, 0.694
ILMN_1730084, COMT, 0.683
ILMN_1683883, ACY1, 0.679
ILMN_1732750, COA4, 0.677
ILMN_1735438, GPM6B, 0.669
ILMN_1685719, NTSR2, 0.667
ILMN_1703350, ATRAID, 0.661
ILMN_1729180, GATM, 0.661
ILMN_1727080, MYO6, 0.66
ILMN_1652748, LOC390354, 0.654
ILMN_1786273, C1orf122, 0.645
ILMN_1722713, FBLN1, 0.64
ILMN_1669424, LOC646531, 0.635
ILMN_1687074, CDC14B, 0.634
ILMN_1751904, EDNRB, 0.634
ILMN_1672608, PLPP3, 0.631
ILMN_1695299, PDLIM3, 0.625
ILMN_1766446, C6orf48, 0.621
ILMN_1713031, CPQ, 0.61
ILMN_1711745, PPIB, 0.604
ILMN_1653115, ECH1, 0.603
ILMN_1716445, DTYMK, 0.602
ILMN_1771921, HSCB, 0.599
ILMN_1707717, BAALC, 0.593
ILMN_1746846, TTLL4, 0.59
ILMN_1754663, TSPO, 0.59
ILMN_1810864, PMP22, 0.586
ILMN_1664051, SEC22C, 0.586
ILMN_1711810, PNKD, 0.585
ILMN_1761797, CSTB, 0.585
ILMN_1652306, MEGF10, 0.585
ILMN_1707310, MGLL, 0.582
ILMN_1729374, ETFB, 0.582
ILMN_1769705, LOC440093, 0.579
ILMN_1651966, FGFR3, 0.579
ILMN_1745885, POLR2F, 0.578
ILMN_1685194, CLDN10, 0.578
ILMN_1757910, HIP1R, 0.577
ILMN_1737074, LOC440589, 0.576
ILMN_1720053, ZFAND3, 0.576
ILMN_1724895, CLU, 0.575
ILMN_1789136, SERF2, 0.575
ILMN_1802251, PTTG1IP, 0.575
ILMN_1672650, PKM, 0.575
ILMN_1701832, RPL19, 0.575
ILMN_1748471, RPLP0, 0.572
